id,split,P,A_true,phi_true,A_fit,phi_fit,sigma_A,sigma_phi,corr_A_phi
00000,train,3.84717151162,0.0655994284042,5.92212059725,0.0654250477165,5.90331601466,0.00134959216349,0.02135441419,-0.0512194164389
00001,train,2.84376576854,0.398747084127,0.618403970522,0.399328330374,0.614046521501,0.00133224916839,0.00361762977482,-0.0402051719275
00002,train,5.98857475694,0.054835268066,4.95600514764,0.0549706337971,4.9610479509,0.00108590192835,0.0200855295261,0.0286606684467
00003,train,27.3263220714,0.213298826498,2.91255778473,0.213118681359,2.91571637437,0.000831187396283,0.00382887000483,0.0035439150463
00004,train,4.91204356227,0.070440869771,0.0918525067642,0.0697419082861,0.113537261752,0.00114781206239,0.0155358102629,0.0165725609165
00005,train,64.3437620332,0.105682680079,4.19249025032,0.104123139628,4.20215230485,0.000854662797968,0.00807251171004,0.0253859498111
00006,train,3.21952688914,0.377859543314,3.23612298279,0.378469635487,3.23544458019,0.000511062720368,0.00132435154245,-0.038551770423
00007,train,6.75821740666,0.264792363564,4.05035634869,0.263484246136,4.05224828855,0.00104038563944,0.00397194965736,0.0345895667699
00008,train,57.5409132542,0.111079769092,4.11851328682,0.110390213081,4.13053082449,0.000843495757132,0.00778621442742,0.0711169305996
00009,train,13.3135788647,0.244751654944,0.121262751472,0.244737689696,0.115811617483,0.00103129427914,0.00423526560454,0.0188804304408
00010,train,3.24359600416,0.135792761944,4.46114525136,0.135833019626,4.45689135909,0.0008735372489,0.00631230155587,0.0161806628778
00011,train,4.63088703647,0.0628279224436,3.12011463638,0.0650332362847,3.13466396899,0.000897489163631,0.0140489450077,0.0573987716101
00012,train,19.5351380235,0.0770261187555,5.88927410288,0.0770279155472,5.891636599,0.00085647765615,0.0112098717574,-0.0587884596394
00013,train,85.3108518203,0.0763328648257,1.91883897763,0.0777450608676,1.9309947674,0.000881180447887,0.0109440754976,0.0198796995457
00014,train,11.6091045229,0.363709397654,0.252613706174,0.363991245149,0.255667046626,0.000680087154217,0.00196498967428,0.0792217748691
00015,train,4.42151646025,0.873147495891,0.971075086244,0.874919870698,0.972398236198,0.00109290955677,0.00126528931608,0.0276548572245
00016,train,2.90887519129,0.159003380783,2.1965532152,0.159036780479,2.19294114124,0.001143696762,0.00744630379843,0.0549058744176
00017,train,21.464361344,0.203239008295,0.284812397599,0.203472166038,0.29289456457,0.00114181268084,0.00577587914816,-0.00863624692213
00018,train,61.9489831978,0.297148714742,1.06796153659,0.297360535418,1.06652930692,0.000968095860865,0.00372414280572,-0.0283102000508
00019,train,50.4898667823,0.121243130874,0.778340099907,0.120994421333,0.779845813934,0.000642051816445,0.00523804572804,-0.00452917429772
00020,train,11.6122733518,0.500660371729,5.90051512718,0.501088916898,5.9019831485,0.0012746674299,0.00242442343576,-0.0282442915913
00021,train,53.2994180664,0.21391008402,5.13797426467,0.211960252859,5.14011920137,0.00114903965825,0.00519630235786,-0.0562402838143
00022,train,26.6029257062,0.14069521096,4.41493638462,0.138937374728,4.40998284555,0.00137689822919,0.0105871021605,0.135873647065
00023,train,21.2715143442,0.843033186032,6.10682494577,0.8433249365,6.10264870382,0.00125685755065,0.00144796471546,-0.0153445338939
00024,train,46.695450919,0.190590801631,0.444685435865,0.189671556028,0.434519584882,0.00109543288085,0.00645786883114,-0.0631562674497
00025,train,5.50834522481,0.729092572496,5.04792476228,0.728286108316,5.04805651038,0.000922445968098,0.00119889708121,-0.0145471869371
00026,train,16.2079311795,0.0650172266437,5.86111639838,0.0661319551805,5.86373268039,0.001310799149,0.0189063392487,-0.0536388600566
00027,train,7.71913988234,0.198851591296,3.67553571547,0.199492821319,3.67626343082,0.0010322257065,0.00499638399618,-0.0485579133156
00028,train,31.7316058903,0.859617024064,0.636440539385,0.859952375105,0.63529943502,0.000766488498301,0.000919727055422,-0.063867840644
00029,train,33.6641669908,0.713581067026,3.14484605402,0.712326668008,3.14254731184,0.000963945718998,0.001286258278,0.00490279589399
00030,train,77.5350570556,0.092424193731,5.58999221143,0.0923084704729,5.58776919272,0.00123050781324,0.0127391093661,0.180672039342
00031,train,4.76215731359,0.288029786637,1.89612117561,0.289339915725,1.88989550828,0.00122320064811,0.00412963643807,0.0199373493576
00032,train,17.9467553488,0.223330517641,4.85894556248,0.22345952471,4.85446596617,0.00101981522865,0.00439867893332,-0.0377105963035
00033,train,14.2827166418,0.0757635714668,0.302048514401,0.0746445633357,0.307613272053,0.00113436610249,0.0145112889179,-0.00650088159739
00034,train,75.9276860182,0.623559820494,0.438250826286,0.623519999756,0.437579955318,0.000656302434972,0.0010448124016,0.0564399307468
00035,train,4.69818639191,0.370143588942,0.382172514841,0.369358047548,0.384229080152,0.000844418169338,0.00223904155806,-0.06317181097
00036,train,40.9407066015,0.0779612572081,1.36366290475,0.0776638170225,1.37834383339,0.00113311026616,0.0155547738945,-0.0457629584459
00037,train,10.5938105311,0.132141263313,6.10541271104,0.13119573062,6.11064948002,0.00119079573168,0.00847792427332,-0.07030751482
00038,train,79.0843126858,0.775711841602,1.75959129022,0.775196724961,1.76061333731,0.00129167513473,0.00184817839873,0.00265847190119
00039,train,11.8595548202,0.389517475519,5.32128521856,0.38908325227,5.32167700247,0.00105801765457,0.0027473825301,0.0226069043787
00040,train,3.52144928755,0.109055762947,2.57772716631,0.10902233164,2.58173631022,0.000926848427078,0.00836245523287,-0.0198580249514
00041,train,6.93902005673,0.0702987728407,2.35838387112,0.0703471194551,2.3725079207,0.000595703278814,0.00901309375415,-0.114302943264
00042,train,7.48973138279,0.613910283469,2.50283426442,0.613758089533,2.50328184176,0.00134134943408,0.00230908007019,0.045061157982
00043,train,63.6262185198,0.187130850357,4.8813252383,0.187131430246,4.87766114748,0.00139831799776,0.00730049795707,0.0148980814159
00044,train,10.1763159122,0.050368081743,3.01722885923,0.0505092058473,3.04636751998,0.00119668703653,0.0210879487255,-0.0198366150544
00045,train,12.1641045975,0.386641493312,3.01333935988,0.387269698076,3.01324243421,0.000789923478746,0.00202845799457,-0.0406856760195
00046,train,25.3915871281,0.0800717915054,3.71652097407,0.0791521366381,3.71178687663,0.000536969145564,0.0065941984179,-0.0527984439712
00047,train,8.97480009767,0.0829507190357,6.25934090953,0.0813249715745,6.24406360114,0.000972942783855,0.0128336729098,-0.0474409492322
00048,train,13.5129514247,0.370221832761,4.14591704723,0.371323374581,4.14935918408,0.000950632543358,0.00238916833498,-0.0025115273657
