id,P,A,phi
00000,3.84717151162,0.0655994284042,5.92212059725
00001,2.84376576854,0.398747084127,0.618403970522
00002,5.98857475694,0.054835268066,4.95600514764
00003,27.3263220714,0.213298826498,2.91255778473
00004,4.91204356227,0.070440869771,0.0918525067642
00005,64.3437620332,0.105682680079,4.19249025032
00006,3.21952688914,0.377859543314,3.23612298279
00007,6.75821740666,0.264792363564,4.05035634869
00008,57.5409132542,0.111079769092,4.11851328682
00009,13.3135788647,0.244751654944,0.121262751472
00010,3.24359600416,0.135792761944,4.46114525136
00011,4.63088703647,0.0628279224436,3.12011463638
00012,19.5351380235,0.0770261187555,5.88927410288
00013,85.3108518203,0.0763328648257,1.91883897763
00014,11.6091045229,0.363709397654,0.252613706174
00015,4.42151646025,0.873147495891,0.971075086244
00016,2.90887519129,0.159003380783,2.1965532152
00017,21.464361344,0.203239008295,0.284812397599
00018,61.9489831978,0.297148714742,1.06796153659
00019,50.4898667823,0.121243130874,0.778340099907
00020,11.6122733518,0.500660371729,5.90051512718
00021,53.2994180664,0.21391008402,5.13797426467
00022,26.6029257062,0.14069521096,4.41493638462
00023,21.2715143442,0.843033186032,6.10682494577
00024,46.695450919,0.190590801631,0.444685435865
00025,5.50834522481,0.729092572496,5.04792476228
00026,16.2079311795,0.0650172266437,5.86111639838
00027,7.71913988234,0.198851591296,3.67553571547
00028,31.7316058903,0.859617024064,0.636440539385
00029,33.6641669908,0.713581067026,3.14484605402
00030,77.5350570556,0.092424193731,5.58999221143
00031,4.76215731359,0.288029786637,1.89612117561
00032,17.9467553488,0.223330517641,4.85894556248
00033,14.2827166418,0.0757635714668,0.302048514401
00034,75.9276860182,0.623559820494,0.438250826286
00035,4.69818639191,0.370143588942,0.382172514841
00036,40.9407066015,0.0779612572081,1.36366290475
00037,10.5938105311,0.132141263313,6.10541271104
00038,79.0843126858,0.775711841602,1.75959129022
00039,11.8595548202,0.389517475519,5.32128521856
00040,3.52144928755,0.109055762947,2.57772716631
00041,6.93902005673,0.0702987728407,2.35838387112
00042,7.48973138279,0.613910283469,2.50283426442
00043,63.6262185198,0.187130850357,4.8813252383
00044,10.1763159122,0.050368081743,3.01722885923
00045,12.1641045975,0.386641493312,3.01333935988
00046,25.3915871281,0.0800717915054,3.71652097407
00047,8.97480009767,0.0829507190357,6.25934090953
00048,13.5129514247,0.370221832761,4.14591704723
00049,28.6043650384,0.0682183005177,2.3036277928
00050,3.17967463806,0.0760566472567,5.68854571112
00051,8.50101149538,0.142194233404,4.73093278932
00052,7.52222570844,0.390436227379,2.07713776686
00053,19.9134715839,0.229828742568,4.7096601948
00054,17.9264366803,0.303707207744,2.13398488842
00055,72.8057334897,0.19718839762,0.533796185012
00056,21.974621137,0.258376654266,5.17821501811
00057,9.85607576365,0.678597141781,2.47897844689
00058,90.7924138842,0.368329315609,6.22450301974
00059,9.27591393446,0.760791209461,5.702197109
00060,6.55780442127,0.214146280558,3.64308041968
00061,16.0687118962,0.353774953005,5.09540143865
00062,8.47946107803,0.271009733208,1.02123307932
00063,31.2798011084,0.378586373963,6.23114480016
00064,24.8560585883,0.0613401400471,3.33886357297
00065,31.7112612482,0.772941366234,4.74027409515
00066,58.1810093085,0.132972066163,4.44992340699
00067,20.1827143188,0.311041527931,5.3045374185
00068,9.84989684767,0.81015432317,4.79343613254
00069,65.7451257946,0.305384571595,0.445490777448
00070,24.9133412651,0.0905360685964,5.90480048985
00071,31.7572673762,0.155985402133,3.09626527106
00072,2.79089764062,0.559223484682,5.20465676139
00073,77.0407957124,0.0778725744805,4.25319714743
00074,32.2311713619,0.54025576313,5.43028149064
00075,22.1540672312,0.173339995543,0.469130050808
00076,5.47029108613,0.0900651379504,6.22093346649
00077,37.0237500017,0.224853250277,0.832524708188
00078,27.6233163669,0.0579940060873,5.74275704085
00079,9.48779099995,0.444074357749,1.81211444313
00080,44.1565909004,0.100839887556,0.0549471515273
00081,21.4783037224,0.110928372282,3.41945709461
00082,60.791837211,0.247574155123,3.72948032164
00083,4.92671412307,0.120246784884,5.26698566807
00084,34.5808709504,0.342863023896,2.87058579165
00085,63.486876091,0.906274403074,3.41527717933
00086,6.03777624697,0.188921718657,5.23996816653
00087,9.22250840914,0.46135721481,5.1114955893
00088,17.6695514807,0.479663450548,3.68953273887
00089,16.6699527293,0.437709732542,5.04857699895
00090,24.4553742417,0.423913310532,3.32428106049
00091,54.2179827578,0.0731570442056,4.92862800291
00092,3.57237854352,0.265814909964,5.07500231006
00093,6.03654785523,0.405268202097,2.106801852
00094,34.4992350005,0.144812431322,3.44349076734
00095,23.3363180533,0.378558810818,4.23986170931
00096,8.12581895489,0.187706822011,3.29785857181
00097,50.0629112261,0.200266056132,0.477877531218
00098,23.5244343435,0.136765531656,2.37350693293
00099,6.63441945385,0.0803034262944,4.15776257756
00100,3.61198622823,0.0590777930776,4.27034041756
00101,8.2356600554,0.125773863956,3.72192382593
00102,34.917781135,0.74678114262,1.04466415358
00103,2.58298024809,0.298650995882,5.7897965132
00104,76.1152587998,0.310306961847,0.980704928798
00105,23.7324683729,0.30792049971,2.62326025053
00106,17.2180872462,0.565890491925,2.73361632503
00107,31.3506008469,0.219327253027,1.55628885297
00108,4.474571039,0.0817005376417,2.58142297757
00109,5.89538004072,0.884291351125,5.78993525394
00110,25.3696535315,0.0927539682165,5.76784259103
00111,19.0054687668,0.517189680412,4.51259916576
00112,3.2463084664,0.103977940921,4.06182469385
